,,dataset,Sys. Mem.,shared_buffers,extension,ef_search/nprobes,recall,qps
,,laion-100m-test-ip,16GB,12GB,pgv,10,0.7203,25.3334
,,laion-100m-test-ip,16GB,12GB,pgv,20,0.8217,17.5281
,,laion-100m-test-ip,16GB,12GB,pgv,40,0.886,11.5672
,,laion-100m-test-ip,16GB,12GB,pgv,60,0.9166,8.7284
,,laion-100m-test-ip,16GB,12GB,pgv,80,0.9259,7.1346
,,laion-100m-test-ip,16GB,12GB,pgv,120,0.951,5.2841
,,laion-100m-test-ip,16GB,12GB,pgv,200,0.9574,3.5759
,,laion-100m-test-ip,16GB,12GB,pgv,400,0.9652,2.0494
,,laion-100m-test-ip,16GB,12GB,pgv,600,0.9666,1.4777
,,laion-100m-test-ip,16GB,12GB,pgv,800,0.9738,1.1681
,,laion-100m-test-ip,32GB,25GB,pgv,10,0.7203,26.3889
,,laion-100m-test-ip,32GB,25GB,pgv,20,0.8217,18.4886
,,laion-100m-test-ip,32GB,25GB,pgv,40,0.886,12.2117
,,laion-100m-test-ip,32GB,25GB,pgv,60,0.9166,9.2202
,,laion-100m-test-ip,32GB,25GB,pgv,80,0.9259,7.5512
,,laion-100m-test-ip,32GB,25GB,pgv,120,0.951,5.5796
,,laion-100m-test-ip,32GB,25GB,pgv,200,0.9574,3.772
,,laion-100m-test-ip,32GB,25GB,pgv,400,0.9652,2.1817
,,laion-100m-test-ip,32GB,25GB,pgv,600,0.9666,1.5682
,,laion-100m-test-ip,32GB,25GB,pgv,800,0.9738,1.2394
,,laion-100m-test-ip,64GB,50GB,pgv,10,0.7203,28.8314
,,laion-100m-test-ip,64GB,50GB,pgv,20,0.8217,20.5111
,,laion-100m-test-ip,64GB,50GB,pgv,40,0.886,13.5874
,,laion-100m-test-ip,64GB,50GB,pgv,60,0.9166,10.2999
,,laion-100m-test-ip,64GB,50GB,pgv,80,0.9259,8.482
,,laion-100m-test-ip,64GB,50GB,pgv,120,0.951,6.2723
,,laion-100m-test-ip,64GB,50GB,pgv,200,0.9574,4.2386
,,laion-100m-test-ip,64GB,50GB,pgv,400,0.9652,2.4688
,,laion-100m-test-ip,64GB,50GB,pgv,600,0.9666,1.7809
,,laion-100m-test-ip,64GB,50GB,pgv,800,0.9738,1.4079
,,laion-100m-test-ip,128GB,100GB,pgv,10,0.7203,35.2774
,,laion-100m-test-ip,128GB,100GB,pgv,20,0.8217,26.0579
,,laion-100m-test-ip,128GB,100GB,pgv,40,0.886,17.5158
,,laion-100m-test-ip,128GB,100GB,pgv,60,0.9166,13.4816
,,laion-100m-test-ip,128GB,100GB,pgv,80,0.9259,11.2095
,,laion-100m-test-ip,128GB,100GB,pgv,120,0.951,8.2837
,,laion-100m-test-ip,128GB,100GB,pgv,200,0.9574,5.6068
,,laion-100m-test-ip,128GB,100GB,pgv,400,0.9652,3.2258
,,laion-100m-test-ip,128GB,100GB,pgv,600,0.9666,2.3484
,,laion-100m-test-ip,128GB,100GB,pgv,800,0.9738,1.9108
,,laion-100m-test-ip,256GB,200GB,pgv,10,0.7203,62.9812
,,laion-100m-test-ip,256GB,200GB,pgv,20,0.8217,48.4688
,,laion-100m-test-ip,256GB,200GB,pgv,40,0.886,32.2853
,,laion-100m-test-ip,256GB,200GB,pgv,60,0.9166,26.5323
,,laion-100m-test-ip,256GB,200GB,pgv,80,0.9259,22.2688
,,laion-100m-test-ip,256GB,200GB,pgv,120,0.951,16.8399
,,laion-100m-test-ip,256GB,200GB,pgv,200,0.9574,11.3717
,,laion-100m-test-ip,256GB,200GB,pgv,400,0.9652,6.8818
,,laion-100m-test-ip,256GB,200GB,pgv,600,0.9666,4.9033
,,laion-100m-test-ip,256GB,200GB,pgv,800,0.9738,3.4804
,,laion-100m-test-ip,512GB,400GB,pgv,10,0.7203,177.092
,,laion-100m-test-ip,512GB,400GB,pgv,20,0.8217,247.4894
,,laion-100m-test-ip,512GB,400GB,pgv,40,0.886,184.7621
,,laion-100m-test-ip,512GB,400GB,pgv,60,0.9166,150.4695
,,laion-100m-test-ip,512GB,400GB,pgv,80,0.9259,128.0299
,,laion-100m-test-ip,512GB,400GB,pgv,120,0.951,98.2627
,,laion-100m-test-ip,512GB,400GB,pgv,200,0.9574,71.0934
,,laion-100m-test-ip,512GB,400GB,pgv,400,0.9652,45.2025
,,laion-100m-test-ip,512GB,400GB,pgv,600,0.9666,34.7136
,,laion-100m-test-ip,512GB,400GB,pgv,800,0.9738,28.8254
,,laion-100m-test-ip,16GB,12GB,vc,20,0.9126,78.5732
,,laion-100m-test-ip,16GB,12GB,vc,30,0.9331,76.3111
,,laion-100m-test-ip,16GB,12GB,vc,40,0.9435,59.2256
,,laion-100m-test-ip,16GB,12GB,vc,50,0.9515,62.3516
,,laion-100m-test-ip,16GB,12GB,vc,100,0.9653,43.0752
,,laion-100m-test-ip,16GB,12GB,vc,200,0.9737,31.8678
,,laion-100m-test-ip,32GB,25GB,vc,20,0.9126,85.9557
,,laion-100m-test-ip,32GB,25GB,vc,30,0.9331,152.576
,,laion-100m-test-ip,32GB,25GB,vc,40,0.9435,146.8711
